year,most_played_genre,playtime_forever
2010.0,Simulation,210510
2010.0,Strategy,706991
2011.0,Action,26652398
2011.0,Adventure,2309936
2011.0,Anime,300
2011.0,Casual,1019125
2011.0,Documentary,40194
2011.0,Indie,664273
2011.0,RPG,1205148
2011.0,Racing,180008
2011.0,Simulation,671052
2011.0,Sports,23549
2011.0,Strategy,1173734
2012.0,Action,32538502
2012.0,Adventure,4886646
2012.0,Animation &amp; Modeling,734
2012.0,Casual,812725
2012.0,Comedy,727
2012.0,Design &amp; Illustration,142500
2012.0,Free to Play,409295
2012.0,Indie,2922305
2012.0,Photo Editing,1124
2012.0,RPG,439407
2012.0,Racing,40114
2012.0,Simulation,17776
2012.0,Sports,85124
2012.0,Strategy,2065294
2012.0,Utilities,5647
2013.0,Action,35048495
2013.0,Adventure,5172039
2013.0,Animation &amp; Modeling,56658
2013.0,Audio Production,6314
2013.0,Casual,2949183
2013.0,Comedy,1
2013.0,Design &amp; Illustration,1539
2013.0,Early Access,477527
2013.0,Education,13
2013.0,Free to Play,761396
2013.0,Indie,3873946
2013.0,RPG,398769
2013.0,Racing,579425
2013.0,Simulation,615853
2013.0,Strategy,771394
2013.0,Utilities,4280
2014.0,Action,28544803
2014.0,Adventure,4668021
2014.0,Animation &amp; Modeling,12246
2014.0,Anime,326
2014.0,Audio Production,16559
2014.0,Casual,3515724
2014.0,Comedy,78
2014.0,Design &amp; Illustration,21878
2014.0,Documentary,239388
2014.0,Drama,61
2014.0,Early Access,37367
2014.0,Free to Play,855479
2014.0,Indie,3833888
2014.0,RPG,802290
2014.0,Racing,276867
2014.0,Simulation,535957
2014.0,Sports,33711
2014.0,Strategy,223676
2014.0,Utilities,85286
2015.0,Action,16901078
2015.0,Adventure,3644015
2015.0,Animation & Modeling,237
2015.0,Animation &amp; Modeling,112766
2015.0,Anime,591
2015.0,Audio Production,1717
2015.0,Casual,2514033
2015.0,Comic Book,5831
2015.0,Design &amp; Illustration,14807
2015.0,Documentary,13357
2015.0,Drama,390
2015.0,Early Access,1387225
2015.0,Free to Play,1558736
2015.0,Indie,5491505
2015.0,RPG,977065
2015.0,Racing,28140
2015.0,Simulation,1153313
2015.0,Sports,162827
2015.0,Strategy,550227
2015.0,Utilities,45541
2015.0,Web Publishing,186
2016.0,Action,6368916
2016.0,Adventure,3737791
2016.0,Animation &amp; Modeling,14199
2016.0,Anime,1285
2016.0,Audio Production,273
2016.0,Casual,1929453
2016.0,Design &amp; Illustration,502
2016.0,Documentary,419
2016.0,Early Access,226952
2016.0,Education,390
2016.0,Free to Play,598991
2016.0,Indie,1905207
2016.0,RPG,98063
2016.0,Racing,28162
2016.0,Simulation,308234
2016.0,Sports,15984
2016.0,Strategy,158705
2016.0,Utilities,23812
2016.0,Video Production,1525
2017.0,Action,3070096
2017.0,Adventure,531297
2017.0,Casual,21214
2017.0,Design &amp; Illustration,21
2017.0,Early Access,118
2017.0,Education,4965
2017.0,Free to Play,32003
2017.0,Indie,292567
2017.0,Movie,286742
2017.0,Simulation,39131
2017.0,Strategy,14387
2018.0,Action,2203
2018.0,Early Access,3904
