title,year,recommend,polaridad
Arma 2: Operation Arrowhead,2010.0,False,-0.05000000000000001
Arma 2: Operation Arrowhead,2010.0,True,0.3106341939708342
Arma 3,2013.0,False,-0.03953761793280023
Arma 3,2013.0,True,0.2010705310512526
Armed with Wings: Rearmed,2017.0,True,0.0500925925925925
Armello,2015.0,True,0.13638095238095238
Armikrog,2015.0,True,0.0477272727272727
Assassin's Creed Freedom Cry,2014.0,True,0.34980902777777784
Assassin’s Creed® Chronicles: China,2015.0,False,-0.2
Assassin’s Creed® Chronicles: China,2015.0,True,0.007180497198879549
Assault Android Cactus,2015.0,True,0.18244684499314126
Asteria,2014.0,True,0.04
Atlas Reactor,2016.0,True,0.5
Atom Universe,2017.0,True,-0.2
Atulos Online,2016.0,True,0.08749999999999995
Audiosurf 2,2015.0,True,0.2429842472342472
Audition Online,2007.0,False,0.2249999999999999
Auditorium,2012.0,True,-0.5
Autocraft,2017.0,False,-0.4428571428571429
Automation - The Car Company Tycoon Game,2015.0,False,0.0160597572362278
Automation - The Car Company Tycoon Game,2015.0,True,0.15069444444444438
Avadon 2: The Corruption,2013.0,False,0.03625
Avenging Angel,2015.0,False,0.0
Avernum 2: Crystal Souls,2015.0,True,0.3375
Aveyond 3-2: Gates of Night,2014.0,False,-0.0642857142857143
Aviary Attorney,2015.0,True,0.312125
Axis Game Factory's AGFPRO BattleMat Multi-Player DLC,2014.0,True,0.3125
BEEP,2011.0,False,0.0443606701940035
BEEP,2011.0,True,-0.013628472222222207
BIOS,2016.0,True,0.3704545454545455
BIT.TRIP BEAT,2010.0,True,0.4875
BIT.TRIP CORE,2012.0,True,-0.2916666666666667
BIT.TRIP FATE,2013.0,False,-0.1227272727272727
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2013.0,False,0.0
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2013.0,True,0.2064805100375605
BIT.TRIP RUNNER,2011.0,False,-0.4069444444444444
BIT.TRIP RUNNER,2011.0,True,0.07910474304606956
BLADESTORM: Nightmare,2015.0,True,-0.0483974358974358
BLOCKADE 3D,2014.0,False,0.06560603545923736
BLOCKADE 3D,2014.0,True,0.24994940005715868
BRINK,2011.0,False,-0.5999999999999999
BRINK,2011.0,True,-0.01222222222222219
Bad Bots,2013.0,False,0.0
Baldur's Gate: Enhanced Edition,2013.0,False,0.0
Baldur's Gate: Enhanced Edition,2013.0,True,0.013194444444444432
Ballistic Overkill,2017.0,True,0.053571428571428555
Banished,2014.0,False,0.37596153846153846
Banished,2014.0,True,0.10681746210737626
Barbara-ian,2017.0,True,0.1875
Bardbarian,2014.0,True,0.1264198908730159
Basement,2015.0,False,-0.108
Basement,2015.0,True,0.1949404761904761
Bastion,2011.0,True,0.20739580496373644
Batman - The Telltale Series,2016.0,False,-1.0
Batman - The Telltale Series,2016.0,True,0.2721096979461641
Batman™: Arkham Knight,2015.0,False,-0.055048607469360904
Batman™: Arkham Knight,2015.0,True,0.17044160200908934
Batman™: Arkham Origins,2013.0,False,-0.025105218855218835
Batman™: Arkham Origins,2013.0,True,0.12133656314209398
Batman™: Arkham Origins Blackgate - Deluxe Edition,2014.0,False,-0.6000000000000001
Battle Chess: Game of Kings™,2015.0,True,0.1050716524854455
Battle Forever,2016.0,True,-0.0125
Battle Islands,2014.0,False,0.0
Battle Islands,2014.0,True,0.2119173728813559
Battle for Blood - Epic battles within 30 seconds!,2015.0,True,0.1666666666666666
Battle of Empires : 1914-1918,2015.0,True,0.27366071428571426
BattleStick,2016.0,False,0.0583333333333333
BattleStick,2016.0,True,0.4166666666666666
Battleborn,2016.0,False,-0.09769221505120895
Battleborn,2016.0,True,0.12315161307578584
Battlefleet Gothic: Armada,2016.0,True,0.1007201646090535
Battlepaths,2012.0,True,0.0
Battlepillars Gold Edition,2014.0,False,-0.41
Battlepillars Gold Edition,2014.0,True,0.0583333333333333
Battlestations: Midway,2007.0,False,-0.4869791666666667
Battlevoid: Harbinger,2016.0,True,-0.0624999999999999
Beach Bounce,2015.0,False,-0.2083333333333333
BeamNG.drive,2015.0,True,0.06552242063492063
Beat Hazard,2010.0,False,0.0
Beat Hazard,2010.0,True,0.2835677331349206
Beatbuddy: Tale of the Guardians,2013.0,False,-0.26
Beatbuddy: Tale of the Guardians,2013.0,True,0.4
Before the Echo,2011.0,False,0.125
Before the Echo,2011.0,True,0.20059710404537984
Ben and Ed,2015.0,False,-0.0596969696969696
Ben and Ed,2015.0,True,0.06875
Besiege,2015.0,False,0.0199999999999999
Besiege,2015.0,True,0.11158492778846395
Better Late Than DEAD,2016.0,False,0.0333333333333333
Better Late Than DEAD,2016.0,True,0.1572358630952381
Beware Planet Earth,2014.0,False,-0.0166666666666666
Beyond Gravity,2014.0,True,-0.05
Beyond Sol,2015.0,True,-0.0178660714285714
Bierzerkers,2016.0,False,0.05333333333333327
Bierzerkers,2016.0,True,0.0
Big Fish Legend,2015.0,True,0.0799999999999999
Big Pharma,2015.0,False,-0.0479300729300729
Big Thinkers 1st Grade,2015.0,True,0.7000000000000001
Binary Domain,2012.0,False,0.0863095238095238
Binary Domain,2012.0,True,-0.011934523809523848
BioShock Infinite,2013.0,False,-0.13266021324354654
BioShock Infinite,2013.0,True,0.19004087581746384
Bionic Dues,2013.0,False,0.0
Bionic Dues,2013.0,True,0.07861111111111105
Bird Assassin,2011.0,True,0.10390625
Bit Blaster XL,2016.0,True,0.15752961715924677
Bitardia,2015.0,True,0.0
Bitweb,2015.0,False,0.0
Bitweb,2015.0,True,-0.4
Black Mesa,2015.0,False,-0.06181794611921657
Black Mesa,2015.0,True,0.10288245761312839
Blackguards,2014.0,False,-0.1866666666666666
Blackguards,2014.0,True,0.1685185185185185
Blacklight: Retribution,2012.0,False,-0.15225319539839097
Blacklight: Retribution,2012.0,True,0.2505426561081361
Blade Kitten,2010.0,True,0.0
Blade Symphony,2014.0,False,-0.07218518518518519
Blade Symphony,2014.0,True,0.042717777777777764
Blades of Time,2012.0,True,0.23983333333333334
BlazBlue: Calamity Trigger,2014.0,True,0.16849914965986396
Bleed,2013.0,True,0.1224776530248228
Blind Trust,2016.0,False,0.04999999999999995
Blind Trust,2016.0,True,-0.4
Block N Load,2015.0,False,-0.12198794261294262
Block N Load,2015.0,True,0.1908652314565776
Block'hood,2017.0,True,0.1396428571428571
Blockland,2007.0,False,-0.3066666666666667
Blockland,2007.0,True,0.12865584415584413
Blocks That Matter,2011.0,True,0.200297619047619
Blockstorm,2015.0,False,0.03541666666666665
Blockstorm,2015.0,True,0.5219745260423009
Blood Bowl 2,2015.0,True,0.0254722222222222
Blood Bowl: Chaos Edition,2012.0,True,-0.12326388888888885
Blood and Bacon,2016.0,False,0.04
Blood and Bacon,2016.0,True,0.13769841269841268
Blood: One Unit Whole Blood,1998.0,False,0.1383333333333333
Blood: One Unit Whole Blood,1998.0,True,0.0
BloodLust Shadowhunter,2015.0,True,0.0343749999999999
Bloodline Champions,2011.0,True,0.1430555555555555
Bloody Good Time,2010.0,False,0.0
Bloody Good Time,2010.0,True,-0.013425925925925933
Bloody Trapland,2013.0,False,-0.1
Bloody Trapland,2013.0,True,0.03583295454545453
Bloons TD Battles,2016.0,False,0.07785714285714285
Bloons TD Battles,2016.0,True,0.040000000000000036
Blues and Bullets,2015.0,True,0.0
Boid,2016.0,True,-0.0108333333333333
Boo Bunny Plague,2014.0,True,0.0708699633699633
Borderlands,2009.0,True,0.1411982307815641
Borderlands 2,2012.0,False,0.006818014705882361
Borderlands 2,2012.0,True,0.20966116412226188
Borderlands: The Pre-Sequel,2014.0,False,-0.06811151679662152
Borderlands: The Pre-Sequel,2014.0,True,0.1486267086518863
Borderless Gaming,2015.0,True,0.0625
Borealis,2014.0,True,0.0
Borealis,2016.0,True,0.0
Boring Man - Online Tactical Stickman Combat,2014.0,True,0.2013333333333333
BossConstructor,2016.0,True,0.1281818181818181
Botanicula,2012.0,True,0.0999999999999999
Braid,2009.0,False,-0.1166666666666666
Braid,2009.0,True,0.1281546646436352
BrainBread 2,2016.0,False,-0.02130298963019553
Brawlhalla,2017.0,False,-0.07500000000000002
Brawlhalla,2017.0,True,0.1298978249122602
Brick-Force,2012.0,False,-0.08793986344537816
Brick-Force,2012.0,True,0.16666666666666666
Bridge Constructor,2013.0,True,0.07259259259259258
Bridge Project,2013.0,True,-0.0166015625
Broforce,2015.0,False,-0.174067112225007
Broforce,2015.0,True,0.17700789607724
Broken Age,2014.0,False,0.030978835978835936
Broken Age,2014.0,True,0.1781094228991694
Broken Sword 5 - the Serpent's Curse,2014.0,True,-0.0999999999999999
Brothers - A Tale of Two Sons,2013.0,True,0.47942644671139295
Bulb Boy,2015.0,True,0.2
Bully: Scholarship Edition,2008.0,True,0.17325823953823952
Bunker Punks,2016.0,True,0.3
Burgers,2015.0,False,-0.0454761904761905
Buried: An Interactive Story,2016.0,True,0.26875
Burning Man: Beyond Black Rock,2005.0,True,0.0
Burnout Paradise: The Ultimate Box,2009.0,False,-0.013861111111111098
Burnout Paradise: The Ultimate Box,2009.0,True,0.07467498198100503
Burstfire,2015.0,False,0.19
Burstfire,2015.0,True,0.0
Bus Driver,2007.0,True,0.37921875000000005
Bus Simulator 16,2016.0,True,0.1355969551282051
Bus-Simulator 2012,2012.0,False,-0.6999999999999998
Buzz Aldrin's Space Program Manager,2014.0,True,-0.0277777777777778
CABAL Online,2016.0,False,0.1
CAFE 0 ~The Drowned Mermaid~,2011.0,False,-0.4
CALENDULA,2016.0,True,0.1607142857142857
CHKN,2016.0,True,-0.25
CLANNAD,2015.0,True,1.0
CONSORTIUM,2014.0,True,0.0
CPUCores :: Maximize Your FPS,2015.0,True,0.16031565656565655
CRYPTARK,2017.0,True,-0.0539606016878744
CS:GO Player Profiles,2015.0,False,0.6
CS:GO Player Profiles,2015.0,True,0.42797619047619045
CUPID - A free to play Visual Novel,2016.0,True,0.2904761904761904
CaesarIA,2015.0,False,0.1041666666666666
CaesarIA,2015.0,True,-0.04677777777777781
Call of Duty: United Offensive,2004.0,True,0.0
Call of Duty: World at War,2008.0,False,0.0
Call of Duty: World at War,2008.0,True,0.24775768398268397
Call to Arms,2016.0,True,0.14869170470732965
Camera Obscura,2015.0,False,0.0
Canabalt,2015.0,True,0.145
Cannons Lasers Rockets,2014.0,False,-0.18607692307692303
Canyon Capers,2014.0,False,-0.19791666666666669
Canyon Capers,2014.0,True,0.0
Capsized,2011.0,True,0.2099703383036715
Card Hunter,2015.0,True,0.05954534717927572
Cards and Castles,2015.0,True,0.3069444444444444
Cargo Commander,2012.0,True,0.0436088217338217
Carmageddon Max Pack,1997.0,True,0.0
Carpe Diem,2015.0,True,-0.012375172176308553
Carrier Command: Gaea Mission,2012.0,True,0.5
Cars,2016.0,True,0.0
Cast of the Seven Godsends - Redux,2015.0,True,0.48375
Caster,2009.0,False,-0.0391203703703703
Caster,2009.0,True,0.06696701035386805
Castle,2015.0,False,0.1952380952380952
Castle,2015.0,True,0.0
Castle In The Darkness,2015.0,True,0.0274531024531024
Castle Story,2017.0,False,0.09393939393939389
Castle Story,2017.0,True,0.0533482085192443
Castle of Illusion,2013.0,True,-0.053735632183908
CastleStorm,2013.0,True,0.1424242424242424
Castlevania: Lords of Shadow 2,2014.0,True,0.1488095238095238
Cat Goes Fishing,2015.0,True,0.0722222222222222
Catacomb Kids,2015.0,True,-0.0826298701298701
Catmouth Island,2014.0,False,-0.2533333333333333
Cavern Kings,2014.0,True,0.2653929093567251
Celestian Tales: Old North,2015.0,True,0.1296590909090908
Chains,2008.0,True,0.2666666666666666
Champions Online,2009.0,True,0.09722222222222221
Champions of Regnum,2013.0,True,0.059523809523809514
Chaos Domain,2014.0,False,0.0
Chaos Reborn,2015.0,True,-0.046448412698412704
Chaos on Deponia,2012.0,True,-0.1
Chariot,2014.0,True,0.0458049886621315
Chaser,2003.0,True,0.08221547067901235
Cheats 4 Hire,2015.0,False,0.0864957264957265
Cherry Tree High Comedy Club,2012.0,True,0.1083333333333333
Chicken Invaders 2,2016.0,True,-0.0444444444444444
Chicken Invaders 5,2015.0,True,0.0
Child of Light,2014.0,False,0.13383838383838384
Child of Light,2014.0,True,0.09693649786440706
Chime,2010.0,True,0.09
Chivalry: Medieval Warfare,2012.0,False,-0.09887186220203296
Chivalry: Medieval Warfare,2012.0,True,0.1773065101042862
Choice of Robots,2014.0,True,0.40066964285714285
Chroma Squad,2015.0,True,0.1413043478260869
Chronicle: RuneScape Legends,2016.0,True,0.0399999999999999
Chronology,2014.0,True,0.25
ChuSingura46+1 S,2016.0,True,0.10833333333333335
Cibele,2015.0,False,0.0
Cinders,2012.0,True,0.1166666666666666
Circuits,2014.0,True,-0.0280124223602484
Cities XL Platinum,2013.0,True,0.009415799147942003
Cities XXL,2015.0,False,-0.0833333333333333
Cities in Motion,2011.0,True,-0.45
Cities in Motion 2,2013.0,False,-1.0
Cities in Motion 2,2013.0,True,0.018333001063264215
Cities: Skylines,2015.0,False,0.1714285714285714
Cities: Skylines,2015.0,True,0.11304242782736802
City of Steam: Arkadia,2014.0,False,-0.13016975308641976
City of Steam: Arkadia,2014.0,True,0.0853174603174603
Clandestine,2015.0,True,0.1741978609625668
Clash of the Monsters,2016.0,False,-0.5857142857142856
Clash of the Monsters,2016.0,True,0.1699999999999999
Clergy Splode,2015.0,False,0.0
Clicker Heroes,2015.0,False,-0.059999999999999984
Clicker Heroes,2015.0,True,0.09787497634553556
Clickteam Fusion 2.5,2013.0,True,0.225
Cloning Clyde,2011.0,True,0.2083333333333333
Closure,2012.0,True,0.450079365079365
Clown House (Palyaço Evi),2015.0,False,-0.2
Clown House (Palyaço Evi),2015.0,True,0.0
Cobalt,2016.0,True,0.10694444444444444
Codename CURE,2017.0,False,0.014521329365079327
Codename CURE,2017.0,True,0.03321212723335364
Codename: Rogue Fleet,2016.0,False,-0.1564102564102563
Cognition: An Erica Reed Thriller,2013.0,False,0.1535714285714285
Cogs,2009.0,True,0.36
Colin McRae Rally,2014.0,False,0.0
Colin McRae Rally,2014.0,True,-0.2333333333333333
Color Symphony,2014.0,False,0.0066740691740691
Color Symphony,2014.0,True,0.42499999999999993
Coma: Mortuary,2014.0,True,0.008333333333333333
Command: Modern Air / Naval Operations WOTY,2014.0,True,0.0765555555555555
Commander Cool 2,2015.0,False,0.0
Commander Cool 2,2015.0,True,0.08375
Commando Jack,2014.0,True,0.0999999999999999
Commandos 2: Men of Courage,2002.0,True,0.15625
Commandos: Behind Enemy Lines,1998.0,True,-0.10940476190476195
Community College Hero: Trial by Fire,2015.0,True,0.4125
Company of Heroes 2,2013.0,False,0.029166666666666674
Company of Heroes 2,2013.0,True,0.17966974521213738
Company of Heroes: Tales of Valor,2009.0,True,0.0
Conan the mighty pig,2016.0,True,-0.4
Condemned: Criminal Origins,2006.0,True,-0.15
Contagion,2013.0,False,-0.059093915343915344
Contagion,2013.0,True,0.26624355505605507
Continue?9876543210,2014.0,True,0.0444444444444444
Contract,2016.0,True,0.22767857142857134
Contraption Maker,2014.0,True,0.2857407407407407
Contrast,2013.0,True,0.18563712522045853
Controller Companion,2015.0,True,0.4249893162393163
Convoy,2015.0,True,0.0528051948051948
"Cook, Serve, Delicious!",2013.0,False,-0.5
"Cook, Serve, Delicious!",2013.0,True,0.0695823494687131
Copa Petrobras de Marcas,2014.0,False,-0.2
Copa Petrobras de Marcas,2014.0,True,0.035925099206349204
Corporate Lifestyle Simulator,2014.0,True,0.75
Cortex Command,2012.0,False,-0.3041666666666667
Cortex Command,2012.0,True,0.09813600288600288
Cosmic DJ,2014.0,False,-0.1388888888888888
Cosmic DJ,2014.0,True,0.0596466033966034
Cosmic Rocket Defender,2015.0,True,0.0441666666666666
Cosmo's Cosmic Adventure,1992.0,True,0.0708333333333333
Cosmochoria,2015.0,True,0.4505208333333333
Cosmonautica,2015.0,False,-0.1552083333333333
Cossacks: Back to War,2002.0,True,0.35
Costume Quest,2011.0,True,0.11399230021679001
Costume Quest 2,2014.0,True,0.3
Counter-Strike,2000.0,False,0.05614035087719299
Counter-Strike,2000.0,True,0.40996919539817434
Counter-Strike Nexon: Zombies,2014.0,False,-0.04351431377905562
Counter-Strike Nexon: Zombies,2014.0,True,0.07681709843266447
Counter-Strike: Condition Zero,2004.0,False,-0.26666666666666666
Counter-Strike: Condition Zero,2004.0,True,0.7714365881032548
Counter-Strike: Global Offensive,2012.0,False,-0.018572361097464806
Counter-Strike: Global Offensive,2012.0,True,0.2116163406250876
Counter-Strike: Source,2004.0,False,0.006923076923076921
Counter-Strike: Source,2004.0,True,0.36430213376952014
Craft The World,2014.0,True,0.0414790372670807
Crashlands,2016.0,True,0.2909313725490196
Crawl,2017.0,True,0.18333333333333332
Crayon Physics Deluxe,2009.0,False,0.5
Crayon Physics Deluxe,2009.0,True,0.1366666666666666
Crazy Taxi,2011.0,True,-0.05000000000000002
Crea,2016.0,True,0.0607142857142857
Creeper World 3: Arc Eternal,2014.0,True,0.1823484848484848
Cricket Captain 2015,2015.0,False,-0.0322916666666666
Cricket Captain 2015,2015.0,True,0.65
Cricket Revolution,2009.0,True,0.12
Crimsonland,2014.0,True,0.0891666666666666
Critical Mass,2011.0,True,-0.04371031746031744
Critter Crunch,2012.0,True,0.05
Croixleur Sigma,2014.0,True,0.8
Cross of the Dutchman,2015.0,True,0.3
CrossCode,2015.0,True,0.21367880485527543
Crossout,2017.0,True,0.0808333333333333
Crown and Council,2017.0,False,0.0
Crusader Kings II,2012.0,False,-0.5731782106782106
Crusader Kings II,2012.0,True,0.052475790775719594
Crusaders of the Lost Idols,2015.0,True,0.5249999999999999
Crush Crush,2016.0,True,0.19238095238095235
Cry of Fear,2013.0,False,-0.07341666666666667
Cry of Fear,2013.0,True,0.11160095602435872
Crypt of the NecroDancer,2015.0,True,0.01779874853981996
Crysis,2007.0,False,0.12437500000000004
Crysis,2007.0,True,-0.0482558781088193
Crystal Caves,1991.0,True,0.221875
Crystal Story II,2015.0,True,0.51284375
CubeGun,2014.0,False,-0.4
CubeZ,2014.0,False,-0.5
Cubemen,2012.0,True,0.2480974025974026
Cubemen 2,2013.0,True,0.6999999999999998
Cubic Castles,2014.0,False,-0.4223809523809524
Cubic Castles,2014.0,True,0.027083333333333317
Cult of the Wind,2014.0,False,0.3
Cursed Sight,2015.0,True,0.0
Cuties,2016.0,True,0.0
Cyber Team Manager,2016.0,False,0.4071428571428572
DARK,2013.0,False,0.2833333333333333
DARK SOULS™ II,2014.0,False,0.08657109557109556
DARK SOULS™ II,2014.0,True,0.06274904740267502
DARK SOULS™ II: Scholar of the First Sin,2015.0,False,0.12242424242424241
DARK SOULS™ II: Scholar of the First Sin,2015.0,True,0.033624425697162855
DEFCON,2006.0,False,-0.1083333333333333
DEFCON,2006.0,True,0.09416666666666668
DETOUR,2011.0,False,-0.4
DETOUR,2011.0,True,0.12569444444444441
DIG IT! - A Digger Simulator,2014.0,False,-1.0
DLC Quest,2013.0,True,0.08071710372960371
DOOM,2016.0,False,-0.2092857142857142
DOOM,2016.0,True,0.2774042110758507
DOOM 3,2004.0,False,-0.3124999999999999
DOOM 3,2004.0,True,0.17499999999999993
DRAGON BALL XENOVERSE,2015.0,True,0.08347193880939152
Daikatana,2000.0,False,-0.3933333333333333
Damned,2014.0,False,-0.0383664021164021
Damned,2014.0,True,0.10036848072562357
Dance Magic,2016.0,False,0.0
Danganronpa 2: Goodbye Despair,2016.0,True,0.240625
Danganronpa: Trigger Happy Havoc,2016.0,True,0.15264957264957266
Dark Parables: The Exiled Prince Collector's Edition,2016.0,True,-0.0124999999999999
Darkest Hour: A Hearts of Iron Game,2011.0,True,0.0402356902356902
Darkest Hour: Europe '44-'45,2009.0,True,0.0
Darkwind: War on Wheels,2014.0,False,0.01416666666666666
Darkwind: War on Wheels,2014.0,True,0.4079545454545454
David.,2014.0,True,0.0409090909090909
Day of Defeat,2003.0,False,0.0
Day of Defeat,2003.0,True,0.29232098765432096
Day of Defeat: Source,2010.0,False,0.09821850298823985
